36;AEROCARIBBEAN AIRLINES;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
621;CUBANATUR;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
622;CUBATABACO;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
636;CUMEXINT, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
651;DELVEST HOLDING, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
701;EDICIONES CUBANAS;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
702;EDYJU, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
735;EMPRESA CUBANA DE AVIACION;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
751;EMPRESA CUBANA DE PESCADOS Y MARISCOS;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'CARIBEX'.;;;;;;;;;;;;;;;
758;EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
767;ETCO INTERNATIONAL COMMODITIES LTD.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
768;ETCO INTERNATIONAL COMPANY, LIMITED;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
815;GALAX TRADING CO., LTD.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
906;HAVIN BANK LIMITED;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;SWIFT/BIC HAVIGB2L;;;;;;;;;;;;;;;
907;HAVANATUR;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1042;INSTITUTO NACIONAL DE TURISMO DE CUBA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1043;INTERCONSULT;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1241;KAVE, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1287;LA EMPRESA CUBANA DE FLETES;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1316;LEVERAGE, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1555;NIREF;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1570;NORDSTRAND LTD.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1571;NORDSTRAND MARITIME AND TRADING COMPANY;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1641;PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1660;PESCABRAVA, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1700;PRELASA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1701;PRENSA LATINA CANADA LTD.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1702;PRENSA LATINA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
1888;SERVINAVES, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
2109;TROBER, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
2110;TROPIC TOURS GMBH;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
2184;VIAJES GUAMA, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
2186;VINALES TOURS;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
2674;ABBAS, Abu;individual;SDGT;Director of PALESTINE LIBERATION FRONT - ABU ABBAS FACTION;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 10 Dec 1948;;;;;;;;;;;;;;;
2675;AL RAHMAN, Shaykh Umar Abd;individual;SDGT;Chief Ideological Figure of ISLAMIC GAMA'AT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 03 May 1938;;;;;;;;;;;;;;;
2676;AL ZAWAHIRI, Dr. Ayman;individual;SDGT;Operational and Military Leader of JIHAD GROUP;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 19 Jun 1951;;;;;;;;;;;;;;;
2677;AL-ZOMOR, Abboud Abdul Latif Hassan;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 19 Apr 1947;;;;;;;;;;;;;;;
2678;AWDA, Abd Al Aziz;individual;SDGT;Chief Ideological Figure of PALESTINIAN ISLAMIC JIHAD - SHIQAQI;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1946;;;;;;;;;;;;;;;
2679;FADLALLAH, Shaykh Muhammad Husayn;individual;SDGT;Leading Ideological Figure of HIZBALLAH;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1938;;;;;;;;;;;;;;;
2681;HAWATMA, Nayif;individual;SDGT;Secretary General of DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1933;;;;;;;;;;;;;;;
2682;ISLAMBOULI, Mohammad Shawqi;individual;SDGT;Military Leader of ISLAMIC GAMA'AT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 15 Jan 1955;;;;;;;;;;;;;;;
2683;JABRIL, Ahmad;individual;SDGT;Secretary General of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1938;;;;;;;;;;;;;;;
2685;NAJI, Talal Muhammad Rashid;individual;SDGT;Principal Deputy of POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1930;;;;;;;;;;;;;;;
2686;NASRALLAH, Hasan;individual;SDGT] [SYRIA;Secretary General of Hizballah;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 31 Aug 1960;;;;;;;;;;;;;;;
2690;TUFAYLI, Subhi;individual;SDGT;Former Secretary General and Current Senior Figure of HIZBALLAH;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1947;;;;;;;;;;;;;;;
2691;YASSIN, Sheik Ahmed Ismail;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1938;;;;;;;;;;;;;;;
3748;COBALT REFINERY CO. INC.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
3749;LA COMPANIA GENERAL DE NIQUEL;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
3750;INTERNATIONAL COBALT CO. INC.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
3751;MOA NICKEL SA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
3754;ABU MARZOOK, Mousa Mohammed;individual;SDGT;Political Leader in Amman, Jordan and Damascus, Syria for HAMAS;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 09 Feb 1951;;;;;;;;;;;;;;;
4107;RODRIGUEZ OREJUELA, Gilberto Jose;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 31 Jan 1939;;;;;;;;;;;;;;;
4108;RODRIGUEZ OREJUELA, Miguel Angel;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 23 Nov 1943;" a.k.a. 'DOCTOR M.R.O.'.""";;;;;;;;;;;;;;
4238;MAR AZUL;vessel;CUBA;-0- ;CL2192;Tug;-0- ;212;Cuba;Samir de Navegacion S.A.;-0- ;;;;;;;;;;;;;;;
4243;EBANO;vessel;CUBA;-0- ;-0- ;General Cargo;2595;1865;Panama;-0- ;Vessel Registration Identification IMO 7406784;;;;;;;;;;;;;;;
4249;TIFON;vessel;CUBA;-0- ;CL2059;Tug;-0- ;189;Cuba;-0- ;Vessel Registration Identification IMO 7206512.;;;;;;;;;;;;;;;
4257;ABDALLAH, Ramadan;individual;SDGT;Secretary General of the PALESTINIAN ISLAMIC JIHAD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 01 Jan 1958;;;;;;;;;;;;;;;
4632;BANK MARKAZI JOMHOURI ISLAMI IRAN;-0- ;IRAN] [SDGT] [IRGC] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
4633;BANK MASKAN;-0- ;IRAN] [IRAN-EO13902;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Website www.bank-maskan.ir;;;;;;;;;;;;;;;
4635;BANK REFAH KARGARAN;-0- ;IRAN] [IRAN-EO13902;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Website www.bankrefah.ir;;;;;;;;;;;;;;;
4639;BANK KESHAVARZI IRAN;-0- ;IRAN] [IRAN-EO13902;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Website www.agri-bank.com;;;;;;;;;;;;;;;
4642;BANK SADERAT PLC;-0- ;IRAN] [SDGT] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
4688;ABU SAYYAF GROUP;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4690;ARMED ISLAMIC GROUP;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'GIA'.;;;;;;;;;;;;;;;
4691;AUM SHINRIKYO;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4693;EUZKADI TA ASKATASUNA;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'ETA';;;;;;;;;;;;;;;
4694;GAMA'A AL-ISLAMIYYA;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'IG';;;;;;;;;;;;;;;
4695;HAMAS;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4696;HARAKAT UL-MUJAHIDEEN;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'HUA';;;;;;;;;;;;;;;
4697;HIZBALLAH;-0- ;FTO] [SDGT] [SYRIA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations;;;;;;;;;;;;;;;
4700;KAHANE CHAI;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'CARD'.;;;;;;;;;;;;;;;
4702;KURDISTAN WORKERS' PARTY;-0- ;SDNTK] [FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'HSK';;;;;;;;;;;;;;;
4703;LIBERATION TIGERS OF TAMIL EELAM;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4706;NATIONAL LIBERATION ARMY;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4707;PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4708;PALESTINE LIBERATION FRONT - ABU ABBAS FACTION;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4709;POPULAR FRONT FOR THE LIBERATION OF PALESTINE;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4710;POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4713;REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
4714;REVOLUTIONARY PEOPLE'S STRUGGLE;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'ELA';;;;;;;;;;;;;;;
4715;SHINING PATH;-0- ;SDNTK] [FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'SL';;;;;;;;;;;;;;;
4717;DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
6365;BIN LADIN, Usama bin Muhammad bin Awad;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 30 Jul 1957;;;;;;;;;;;;;;;
6366;AL QA'IDA;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
6367;AL-MASRI, Abu Hafs;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1951;;;;;;;;;;;;;;;
6368;MUSA, Rifa'i Ahmad Taha;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 24 Jun 1954;;;;;;;;;;;;;;;
6531;COLOMBIANA DE CERDOS LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800018928-0 (Colombia).;;;;;;;;;;;;;;;
6539;DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800117780-2 (Colombia).;;;;;;;;;;;;;;;
6550;MATADERO METROPOLITANO LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 891412986-8 (Colombia).;;;;;;;;;;;;;;;
6635;OMAR, Mohammed;individual;SDGT;Commander of the Faithful ('Amir al-Munineen');-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1950;;;;;;;;;;;;;;;
6636;TALIBAN;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
6663;COMERCIALIZADORA DE CARNES LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800076369-0 (Colombia).;;;;;;;;;;;;;;;
6680;SERVIAUTOS UNO A 1A LIMITADA;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800032413-8 (Colombia).;;;;;;;;;;;;;;;
6703;AMEZCUA CONTRERAS, Jose de Jesus;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 31 Jul 1964;;;;;;;;;;;;;;;
6704;AMEZCUA CONTRERAS, Luis Ignacio;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 22 Feb 1964;;;;;;;;;;;;;;;
6706;ARELLANO FELIX, Ramon Eduardo;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 31 Aug 1964;;;;;;;;;;;;;;;
6707;CARO QUINTERO, Rafael;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 12 Dec 1952;;;;;;;;;;;;;;;
6708;CARRILLO FUENTES, Vicente;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 16 Oct 1962;;;;;;;;;;;;;;;
6709;CHANG, Chi Fu;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 17 Feb 1933;;;;;;;;;;;;;;;
6710;HEATH, Noel Timothy;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 16 Dec 1949;;;;;;;;;;;;;;;
6712;OGUNGBUYI, Oluwole A.;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 04 Mar 1953;;;;;;;;;;;;;;;
6713;OGUNGBUYI, Abeni O.;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 30 Jun 1952;;;;;;;;;;;;;;;
6714;WEI, Hsueh Kang;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 29 Jun 1952;;;;;;;;;;;;;;;
6715;ARELLANO FELIX, Benjamin Alberto;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 12 Mar 1952;;;;;;;;;;;;;;;
6717;HENAO MONTOYA, Arcangel de Jesus;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 07 Oct 1954;;;;;;;;;;;;;;;
6718;RAMIREZ ABADIA, Juan Carlos;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 16 Feb 1963;;;;;;;;;;;;;;;
6719;AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800021615-1 (Colombia).;;;;;;;;;;;;;;;
6720;COMPANIA AGROINVERSORA HENAGRO LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800084326-8 (Colombia).;;;;;;;;;;;;;;;
6721;DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800160475-2 (Colombia).;;;;;;;;;;;;;;;
6722;MAQUINARIA TECNICA Y TIERRAS LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800084233-1 (Colombia).;;;;;;;;;;;;;;;
6723;ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800157331-1 (Colombia).;;;;;;;;;;;;;;;
6724;GONZALEZ BENITEZ, Olga Patricia;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 04 Aug 1965;;;;;;;;;;;;;;;
6725;ISLAMIC MOVEMENT OF UZBEKISTAN;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'IMU'.;;;;;;;;;;;;;;;
6726;CAVIEDES DILEO Y CIA. S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800113437-2 (Colombia).;;;;;;;;;;;;;;;
6823;PATINO FOMEQUE, Victor Julio;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 31 Jan 1959;;;;;;;;;;;;;;;
6824;INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 890302172-4 (Colombia).;;;;;;;;;;;;;;;
6826;GALAPAGOS S.A;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800183712-2 (Colombia).;;;;;;;;;;;;;;;
6831;DUQUE BOTERO, Jorge Alirio;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 04 Jun 1949;;;;;;;;;;;;;;;
6832;ECHEVERRY HERRERA, Hernando;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Cedula No. 1625525 (Colombia).;;;;;;;;;;;;;;;
6853;NEW IRISH REPUBLICAN ARMY;-0- ;FTO] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886;;;;;;;;;;;;;;;
6856;AFGHAN, Sher;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1962;;;;;;;;;;;;;;;
6857;CARDENAS GUILLEN, Osiel;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 18 May 1967;;;;;;;;;;;;;;;
6858;CARO QUINTERO, Miguel Angel;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 09 Mar 1963;;;;;;;;;;;;;;;
6859;CHANG, Ping Yun;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 07 Jan 1940;;;;;;;;;;;;;;;
6860;GILBOA, Joseph;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 08 Apr 1943;;;;;;;;;;;;;;;
6861;GUZMAN LOERA, Joaquin;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 25 Dec 1954;;;;;;;;;;;;;;;
6862;HAMIEH, Jamiel;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB Sep 1938.;;;;;;;;;;;;;;;
